Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
-0.00104475,7.214547272,0.738713837,1.711391144
0.00894825,6.3887146,0.282462616,1.466949463
0.01894125,5.040468292,0.024249573,1.564247131
0.02893425,3.912563782,-0.147742767,1.430874481
0.03892825,2.929557953,-0.551303558,1.322350159
0.04892125,2.650837555,-0.774040375,2.235301666
0.05891425,3.023861847,-0.799936523,2.907104645
0.06890725,3.237018585,-1.079105988,2.90530838
0.07890025,2.981050873,-1.795366516,2.584375763
0.08889425,2.878663788,-2.564018097,2.456242218
0.09888725,3.697610779,-3.13343399,2.652783508
0.10888025,4.932692413,-3.676804047,2.916085968
0.11887325,5.993686066,-4.189338226,3.205883331
0.12886625,6.854695587,-5.350174255,3.915557556
0.13886025,8.081843719,-6.176605682,5.444777527
0.14885325,9.743987274,-6.087241516,6.919959869
0.15884625,10.92577972,-5.83292038,7.60089386
0.16883925,11.53471344,-5.787115631,7.472311249
0.17883325,11.93543015,-5.690416718,7.010072479
0.18882625,12.34228409,-5.348377991,6.515950012
0.19881925,12.33075806,-5.014572144,6.579567719
0.20881225,12.8889473,-4.943919067,6.400540009
0.21880525,13.13997528,-5.470523987,5.796995087
0.22879925,11.90085205,-6.432124329,5.119054871
0.23879225,11.65386566,-6.80634613,4.565505981
0.24878525,12.89074356,-6.411317596,4.787644043
0.25877825,14.77083389,-5.728287964,5.603297882
0.26877125,16.1097995,-5.623206482,6.001769257
0.27876525,16.68699921,-5.882317657,5.487887878
0.28875825,16.8158812,-6.227948914,4.5387117
0.29875125,16.1907811,-6.144871674,3.577111359
0.30874425,13.31765579,-4.779860229,2.878065033
0.31873825,11.83304306,-5.233716431,2.77777359
0.32873125,11.39954453,-6.219716034,2.336191864
0.33872425,11.28802643,-5.721851349,1.557062073
0.34871725,12.05637863,-4.8359935,0.984203339
0.35871025,13.38741074,-4.710704041,-0.186512146
0.36870425,13.18113968,-4.410129089,-1.290765839
0.37869725,11.85744232,-4.326303406,-1.608554993
0.38869025,9.808652802,-4.456233215,-0.925076294
0.39868325,7.851173401,-4.894372101,-0.058827667
0.40867625,6.07391922,-5.325325928,0.38260437
0.41867025,5.148094482,-5.747747498,0.517324219
0.42866325,5.373525696,-5.948779449,0.871936798
0.43865625,6.056705017,-5.808820496,1.484013977
0.44864925,6.494095459,-5.563929749,1.677711182
0.45864225,6.703809357,-5.421276398,1.537303162
0.46863625,6.811136169,-5.075196075,1.252744904
0.47862925,6.291865997,-4.772525482,0.90920929
0.48862225,5.359155579,-4.50248703,0.574056244
0.49861525,4.39830368,-4.434977417,0.080233154
0.50860925,3.525917816,-4.700076141,-0.806073761
0.51860225,3.101101227,-5.184768219,-1.298549652
0.52859525,3.06322998,-5.508095856,-0.878373413
0.53858825,3.479065247,-5.529651031,-0.123044128
0.54858125,4.172124023,-5.797593842,0.642913055
0.55857525,4.575385437,-6.113886108,1.121467896
0.56856825,4.763843536,-6.505471802,0.938248901
0.57856125,4.472549286,-7.250472565,-0.279917908
0.58855425,4.235891418,-8.031697998,-2.542013855
0.59854825,5.147645416,-9.167985077,-4.48138092
0.60854125,6.082451477,-9.424102478,-1.004411316
0.61853425,7.994126129,-9.561217346,2.671494598
0.62852725,9.435778198,-8.712033234,3.229234772
0.63852025,10.16670822,-8.79675705,3.07730072
0.64851425,8.955726471,-10.44333298,1.319655762
0.65850725,6.741381226,-9.862391052,1.967957611
0.66850025,6.6156427,-9.062753906,1.069076843
0.67849325,5.140460358,-8.82714386,0.944386139
0.688487208,4.174668732,-8.632548523,1.24151825
0.698480208,4.658312988,-8.140821075,1.39360199
0.708473208,5.099445648,-7.823780365,1.768721924
0.718466208,5.262456665,-7.57859024,1.848655701
0.728459208,5.089416504,-7.611222382,2.328408051
0.738453208,4.378993835,-7.402107239,2.362986145
0.748446208,4.030817871,-7.101382599,2.523452454
0.758439208,4.3117836,-6.979236603,2.543660431
0.768432208,4.032614136,-7.044351196,2.783312073
0.778425208,4.316723328,-7.754025421,2.877765656
0.788419208,4.259542236,-9.427695007,2.780467987
0.798412208,3.980223083,-10.10653336,2.999462585
0.808405208,5.549409943,-10.49781967,2.955903168
0.818398208,5.811215515,-9.660760345,1.933080139
0.828392208,4.138743439,-8.276439056,0.890797577
0.838385208,0.527203674,-7.241940308,0.017962646
0.848378208,-1.405876465,-5.342240753,1.716031494
0.858371208,0.764160919,-2.249671783,7.790998535
0.868364208,10.01088226,-5.690416718,5.952072601
0.878358208,5.999673615,-6.37464386,-2.046394501
0.888351208,0.971330109,-6.476132813,-4.474345551
0.898344208,3.520079956,-7.980504456,-2.754871216
0.908337208,2.56596405,-7.905660095,0.526904297
0.918331208,2.176473999,-8.093369751,1.0484198
0.928324208,5.74744812,-8.20698349,-0.420625305
0.938317208,7.341034241,-7.17383194,-0.799637146
