"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.720833290E-3,-7.265441437E0,-2.709515533E0,5.978567505E0
1.274983329E-2,-7.027586060E0,-2.689457245E0,6.101761322E0
2.277983329E-2,-6.999444580E0,-2.623294830E0,6.380032654E0
3.280883329E-2,-7.041656799E0,-2.617756348E0,6.516997833E0
4.283683340E-2,-7.009324036E0,-2.550097046E0,6.442153473E0
5.286683328E-2,-7.007527771E0,-2.515219574E0,6.285429382E0
6.289583328E-2,-7.142846375E0,-2.501897278E0,6.161936188E0
7.292483340E-2,-7.384893036E0,-2.560724945E0,6.124963074E0
8.295483328E-2,-7.622598724E0,-2.575843506E0,6.170618134E0
9.298383340E-2,-7.838000793E0,-2.580483856E0,6.255192261E0
1.030138333E-1,-8.141120453E0,-2.612517242E0,6.352190552E0
1.130428333E-1,-8.396639099E0,-2.401306458E0,6.176306305E0
1.230718334E-1,-8.491541748E0,-2.105970612E0,6.059698792E0
1.331018333E-1,-8.513246613E0,-2.021995239E0,6.388415222E0
1.431308333E-1,-8.437803497E0,-1.957928467E0,6.693780212E0
1.531598334E-1,-8.053552551E0,-2.076781311E0,6.607559509E0
1.631898333E-1,-7.695048065E0,-2.507286072E0,6.479276276E0
1.732188333E-1,-7.647147675E0,-2.823728027E0,6.324797516E0
1.832478334E-1,-8.019124146E0,-2.826721802E0,5.898633728E0
1.932778333E-1,-8.345146179E0,-2.527943115E0,5.557942200E0
2.033068333E-1,-8.855734406E0,-1.764680328E0,5.564977570E0
2.133368333E-1,-8.318351898E0,-1.219663696E0,6.292764130E0
2.233658333E-1,-8.868308258E0,-2.283501434E0,7.105274506E0
2.333948333E-1,-1.000579285E1,-2.083517303E0,7.295977936E0
2.434248333E-1,-1.071711365E1,-1.165626068E0,7.280260620E0
2.534538333E-1,-1.055589890E1,-5.267546082E-1,7.485932922E0
2.634828334E-1,-9.726473694E0,-2.387535095E-1,7.813002777E0
2.735128333E-1,-8.446036377E0,-6.855743408E-2,7.988737335E0
2.835418333E-1,-7.115453339E0,2.441423035E-1,7.748187561E0
2.935718333E-1,-5.517675934E0,3.604504395E-1,7.100484467E0
3.036008333E-1,-4.028422852E0,6.496490479E-2,5.589077454E0
3.136298333E-1,-2.799777832E0,-5.479056244E0,-5.120102692E0
3.236598333E-1,-3.885919189E0,-1.316212921E0,-2.732717285E0
3.336888333E-1,-3.246598663E0,2.977757721E0,2.579885101E0
3.437178333E-1,-3.863016815E0,9.969268799E-1,4.715793457E0
3.537478333E-1,-2.854264526E0,1.847757568E0,7.920479279E0
3.637768333E-1,-1.857187958E0,1.766027527E0,9.459728394E0
3.738058333E-1,-3.795507202E0,-2.160606995E0,1.863474884E0
3.838358333E-1,-3.408412170E0,-2.630479889E0,-7.872129822E-1
3.938648333E-1,-7.093748474E-1,-4.785548401E-1,5.876779175E0
4.038948333E-1,-1.026415558E0,-1.704355774E0,9.513466644E0
4.139238333E-1,-3.645818481E0,-3.227588196E0,7.092101898E0
4.239528333E-1,-5.557044067E0,-2.868934021E0,5.059628448E0
4.339828333E-1,-6.183790741E0,-2.472109222E0,1.608105927E0
4.440118333E-1,-4.013004913E0,-2.076032867E0,-9.684860229E-1
4.540408333E-1,-1.597178650E0,-2.957849121E0,-1.091380463E0
4.640708333E-1,-1.632355499E0,-7.229815521E0,8.250842285E-1
4.740998333E-1,-2.226170654E0,-1.005459137E1,4.159849548E0
4.841298333E-1,-1.354682922E-1,-8.130492554E0,2.770139465E0
4.941588333E-1,-6.163133698E0,-1.058583664E1,-2.272873535E0
5.041878333E-1,-1.225052490E1,-1.114776810E1,-3.648363190E0
5.142178333E-1,-1.236039642E1,-1.064361649E1,-1.964814148E0
5.242468333E-1,-1.238329880E1,-1.205368423E1,1.920057220E0
5.342758333E-1,-1.246457977E1,-1.229288681E1,5.819298706E0
5.443058333E-1,-1.254241791E1,-1.105062012E1,8.905580750E0
5.543348333E-1,-1.168904251E1,-9.777218170E0,1.037282959E1
5.643648333E-1,-9.416019287E0,-8.682843933E0,1.017164795E1
5.743938333E-1,-6.906038818E0,-7.879913635E0,7.744295654E0
5.844228333E-1,-5.286706238E0,-7.430248718E0,5.146447906E0
5.944528333E-1,-3.871848450E0,-8.422984314E0,5.473368073E0
6.044818333E-1,-1.997745667E0,-7.539970551E0,5.523513794E0
6.145108333E-1,-1.244512024E0,-6.541397095E0,4.839286652E0
6.245408333E-1,-5.590873718E-1,-6.406228180E0,4.689597931E0
6.345698333E-1,4.041595459E-2,-6.484515381E0,5.640270996E0
6.445988333E-1,2.758763123E-1,-6.167624359E0,5.962700500E0
6.546288333E-1,2.894979858E-1,-5.155878296E0,4.571493530E0
6.646578333E-1,9.071136475E-2,-3.145109711E0,3.378324738E0
6.746878333E-1,-3.775149536E-1,-1.953138428E0,1.682501221E0
6.847168333E-1,-5.408253479E-1,-2.260748749E0,-3.043171692E-1
6.947458333E-1,-6.487509155E-1,-2.563269653E0,-1.376238098E0
7.047758333E-1,-3.677851868E-1,-2.950664062E0,-1.370998993E0
7.148048333E-1,1.113684082E-1,-3.213517456E0,-1.982178040E0
7.248338333E-1,4.111949158E-1,-3.507356415E0,-2.435884552E0
7.348638333E-1,4.709207153E-1,-5.356910248E0,-2.108066254E0
7.448928333E-1,7.249424744E-1,-1.957988342E1,2.511926422E0
7.549228333E-1,4.871469727E0,-3.194087860E1,4.750820618E0
7.649518333E-1,1.007105713E1,-4.234484344E1,-1.958826599E0
7.749808333E-1,1.092772568E1,-4.100617722E1,-4.491410065E0
7.850108333E-1,8.313711548E0,-2.803490112E1,-9.945318604E-1
7.950398333E-1,6.948849792E0,-1.675525726E1,9.412426758E-1
8.050688333E-1,5.277275848E0,-1.005339386E1,8.144563293E-1
8.150988333E-1,3.217259674E0,-5.593867493E0,-1.456471252E-1
8.251278333E-1,1.472637634E0,-2.605481873E0,-9.800120544E-1
8.351568333E-1,5.842350769E-1,-4.549040222E-1,1.059047699E0
8.451868333E-1,4.019142151E-1,-2.805166626E-1,2.933300171E0
8.552158333E-1,7.375163269E-1,-2.032473450E0,2.379302216E0
8.652458333E-1,9.330097961E-1,-4.192781067E0,2.491119690E0
8.752748333E-1,8.890013123E-1,-6.812633057E0,2.286495209E0
8.853038333E-1,6.291416931E-1,-9.849068756E0,2.195334778E0
8.953338333E-1,-3.906875610E-2,-1.269659729E1,2.495161285E0
9.053628333E-1,-8.893006897E-1,-1.427865738E1,2.707719269E0
9.153925834E-1,-1.250050507E0,-1.421234528E1,3.447630615E0
9.254225834E-1,-5.168751526E-1,-1.336450836E1,4.740941162E0
9.354515834E-1,3.053649902E-1,-1.221639587E1,4.298012238E0
9.454815834E-1,1.083746338E-1,-1.099403778E1,2.914589081E0
9.555105834E-1,-5.242098999E-1,-9.997410278E0,2.104174347E0
9.655395834E-1,-9.710307312E-1,-9.429491272E0,1.753303986E0
9.755695834E-1,-1.384171600E0,-9.322463837E0,1.725761261E0
9.855985834E-1,-1.654659119E0,-9.348060608E0,1.812431030E0
9.956275834E-1,-1.564696198E0,-9.461674347E0,1.929786987E0
1.005657583E0,-2.092947693E0,-9.963430939E0,2.408641205E0
1.015686583E0,-2.305206299E0,-1.035935760E1,2.667902069E0
1.025716583E0,-2.128274231E0,-1.062490540E1,2.426005096E0
1.035745583E0,-2.175126801E0,-1.068912186E1,2.358345795E0
1.045774583E0,-1.962419128E0,-1.039677979E1,2.290836182E0
1.055804583E0,-1.404080200E0,-1.000235001E1,2.073039093E0
1.065833583E0,-1.039288788E0,-9.633067932E0,1.714085541E0
1.075862583E0,-7.342231750E-1,-9.448651428E0,1.352437592E0
1.085892583E0,-6.149212646E-1,-9.284742279E0,1.196461945E0
1.095921583E0,-5.025050354E-1,-9.093739471E0,1.217418365E0
1.105951583E0,-5.712121582E-1,-8.871601410E0,1.109792175E0
1.115980583E0,-7.918533325E-1,-8.722212067E0,9.599537659E-1
1.126009583E0,-9.586065674E-1,-8.637787628E0,8.105644226E-1
1.136039583E0,-8.945397949E-1,-8.556356964E0,7.813751221E-1
1.146068583E0,-6.577322388E-1,-8.468339996E0,9.113049316E-1
1.156097583E0,-3.537144470E-1,-8.395591278E0,1.059197388E0
1.166127583E0,-9.879455566E-3,-8.235274658E0,1.164727936E0
1.176156583E0,2.779719543E-1,-7.967930603E0,1.378782806E0
1.186186583E0,3.861968994E-1,-7.664212189E0,1.661395111E0
1.196215583E0,3.867956543E-1,-7.452252960E0,1.924248505E0
1.206244583E0,3.718267822E-1,-7.299720154E0,2.070344696E0
1.216274583E0,4.393363953E-1,-7.146438904E0,2.068099365E0
1.226303583E0,5.087919617E-1,-6.950945435E0,2.059118042E0
1.236332583E0,5.671705627E-1,-6.685697021E0,2.139800262E0
1.246362583E0,6.264472961E-1,-6.266269226E0,2.236199799E0
1.256391583E0,6.237528992E-1,-5.744454346E0,2.201322327E0
1.266420583E0,5.792953491E-1,-5.181175690E0,2.035616913E0
1.276450583E0,6.231541443E-1,-4.500690765E0,1.938618622E0
1.286479583E0,5.867797852E-1,-3.841311951E0,1.811682587E0
1.296509583E0,6.991960144E-1,-3.304528198E0,1.854942627E0
1.306538583E0,9.623487854E-1,-2.958896942E0,2.081870728E0
1.316567583E0,1.323098602E0,-3.166964264E0,2.147733765E0
1.326597583E0,1.829495544E0,-3.710184631E0,2.042203217E0
1.336626583E0,1.954335938E0,-4.419559479E0,2.937491455E0
1.346656583E0,1.182241516E0,-5.762866058E0,6.130202179E0
1.356685583E0,-3.050656128E-1,-7.697592773E0,9.016051025E0
1.366714583E0,-1.143322449E0,-9.703870697E0,8.217461700E0
1.376744583E0,-6.596781921E-1,-1.147199387E1,5.790408783E0
1.386773583E0,4.156855774E-1,-1.336226303E1,4.516108704E0
1.396802583E0,5.520520020E-1,-1.615485580E1,2.492766266E0
1.406832583E0,1.125060425E0,-2.055809921E1,2.187101898E0
1.416861583E0,1.766476593E0,-2.643712372E1,2.912942505E0
1.426890583E0,-7.634124756E-2,-3.222483810E1,1.888921967E0
1.436920583E0,-2.220033417E0,-3.532593933E1,1.044976959E0
1.446949583E0,-2.832260284E0,-3.551873840E1,1.934427338E0
1.456979583E0,-2.782563629E0,-3.310665436E1,4.237088928E0
1.467008583E0,-1.748214569E0,-2.682661377E1,5.479654999E0
1.477037583E0,-6.062393188E-1,-2.068982529E1,5.442382507E0
1.487067583E0,-3.920347595E-1,-1.688907898E1,4.694837036E0
1.497096583E0,-5.689668274E-1,-1.428075302E1,3.786226501E0
1.507125583E0,-5.623805237E-1,-1.214229996E1,3.411705322E0
1.517155583E0,-5.409750366E-1,-1.019934036E1,3.088078308E0
1.527184583E0,-6.216572571E-1,-8.324489136E0,2.516716461E0
1.537214583E0,-6.379733276E-1,-6.408473511E0,2.067650299E0
1.547243583E0,-5.198689270E-1,-4.520749054E0,1.786684570E0
1.557272583E0,-4.983137512E-1,-2.691852264E0,1.416504364E0
1.567302583E0,-6.041436768E-1,-1.023571472E0,1.024768982E0
1.577331583E0,-8.384065247E-1,2.493814087E-1,6.477030945E-1
1.587360583E0,-1.042731628E0,8.550219727E-1,6.044430542E-1
1.597390583E0,-9.985734558E-1,1.037043457E0,9.605525208E-1
1.607419583E0,-8.205935669E-1,1.058299255E0,1.241218872E0
1.617449583E0,-6.861730957E-1,9.882449341E-1,1.222358093E0
1.627478583E0,-6.500981140E-1,8.482859802E-1,9.848020935E-1
1.637507583E0,-6.222560120E-1,6.206094360E-1,7.740403748E-1
1.647537583E0,-6.526428223E-1,4.239184570E-1,1.033750305E0
1.657566583E0,-7.438032532E-1,2.656974792E-1,1.711989899E0
1.667595583E0,-9.539662170E-1,1.706451416E-1,2.695594482E0
1.677625583E0,-1.177601166E0,3.742218018E-2,3.528163147E0
1.687654583E0,-1.414259033E0,-1.562750244E-1,4.020639038E0
1.697684583E0,-1.438807983E0,-3.472778320E-1,3.805087280E0
1.707713583E0,-1.351240082E0,-3.764671326E-1,2.873274994E0
1.717742583E0,-1.240470428E0,-2.504292297E-1,1.522633667E0
1.727772583E0,-9.370513916E-1,-1.194515991E-1,2.448907471E-1
1.737801583E0,-5.445675659E-1,-5.029541016E-2,-6.384223938E-1
1.747830583E0,-6.900650024E-2,-6.661148071E-2,-1.217867432E0
1.757860583E0,4.944218445E-1,-2.168989563E-1,-1.921703796E0
1.767889583E0,8.411009216E-1,-4.731660461E-1,-2.407892761E0
1.777919583E0,9.318122864E-1,-7.321275330E-1,-1.869013367E0
1.787948583E0,3.436853027E-1,-1.118474121E0,-1.103205872E0
1.797977583E0,-3.832031250E-1,-1.467099152E0,3.592529297E-3
1.808007583E0,-8.328680420E-1,-1.654659119E0,1.682950287E0
1.818036583E0,-1.326092377E0,-1.873953094E0,2.952610016E0
1.828065583E0,-2.672542419E0,-4.251009979E0,7.986192627E0
1.838095583E0,-5.541775818E0,-1.295720535E1,1.076621155E1
1.848124583E0,-7.093598785E0,-2.606290192E1,1.078866486E1
1.858154583E0,-6.682104492E0,-3.373340103E1,7.951015778E0
1.868183583E0,-6.524482269E0,-3.699796234E1,5.202132111E0
1.878212583E0,-5.652096405E0,-3.638543610E1,5.010829926E0
1.888242583E0,-3.031046906E0,-2.892974030E1,-9.569599915E-1
