"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.764791668E-3,-3.078049164E0,1.491199036E0,4.411775665E0
1.179579168E-2,-3.253783722E0,1.617386627E0,4.906945953E0
2.182579169E-2,-2.585124207E0,1.534758453E0,5.936055908E0
3.185679170E-2,-1.783690796E0,1.240021362E0,6.933431854E0
4.188779171E-2,-1.516795807E0,1.289418640E0,7.677534485E0
5.191879172E-2,-1.651365967E0,1.466051331E0,8.034242706E0
6.194979174E-2,-1.961820374E0,1.966610413E0,7.950866089E0
7.198079175E-2,-2.007625122E0,2.282154236E0,7.711962891E0
8.201079164E-2,-2.176923065E0,2.216440887E0,7.396568756E0
9.204179165E-2,-2.510429535E0,2.294279022E0,6.968009949E0
1.020727917E-1,-2.876717834E0,2.320923615E0,6.315965881E0
1.121037917E-1,-2.868634644E0,2.207160187E0,5.560037842E0
1.221347917E-1,-2.529290314E0,2.247576141E0,4.858596497E0
1.321657917E-1,-2.207459564E0,1.566642151E0,4.610113220E0
1.421957917E-1,-2.412982178E0,1.082399139E0,4.677622833E0
1.522267917E-1,-3.174149323E0,1.361418915E0,4.698878632E0
1.622577917E-1,-3.916605377E0,1.588347015E0,4.727918243E0
1.722887917E-1,-4.401896210E0,1.166374512E0,5.012476501E0
1.823197916E-1,-4.792883148E0,9.529183960E-1,5.202880554E0
1.923507917E-1,-4.856800232E0,1.046922913E0,5.204527130E0
2.023807917E-1,-4.580175476E0,5.929170227E-1,5.261857910E0
2.124117917E-1,-3.956572266E0,-5.897735596E-2,5.164560242E0
2.224427917E-1,-3.478915558E0,-4.357438660E-1,4.774920502E0
2.324737917E-1,-3.338806915E0,-1.022224274E0,4.223916321E0
2.425047917E-1,-3.276386719E0,-1.436263275E0,3.719315643E0
2.525357917E-1,-3.552861786E0,-1.834285583E0,3.723506927E0
2.625657917E-1,-4.821174316E0,-2.830913086E0,4.324207764E0
2.725967917E-1,-6.421646118E0,-3.772305450E0,5.036875763E0
2.826277917E-1,-7.896529083E0,-4.614154816E0,5.072950745E0
2.926587916E-1,-9.767189026E0,-5.972729645E0,4.536017303E0
3.026897917E-1,-1.098894836E1,-7.106621704E0,3.817361755E0
3.127207917E-1,-1.083746338E1,-7.172484741E0,3.607049103E0
