"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.119166680E-4,1.683249664E0,6.991960144E-1,9.813293152E0
9.016083332E-3,1.684896240E0,5.040019226E-1,9.979747009E0
1.894408333E-2,1.541344757E0,5.289999390E-1,9.971364441E0
2.887308333E-2,1.606609039E0,8.307723999E-1,9.732610931E0
3.880108333E-2,1.493893433E0,1.100661163E0,9.430239716E0
4.872908333E-2,1.310075684E0,1.263672180E0,9.192534027E0
5.865708333E-2,1.114582214E0,1.362915802E0,9.070837097E0
6.858508333E-2,6.750961304E-1,1.498084717E0,9.451944580E0
7.851308333E-2,6.468049622E-1,1.263672180E0,9.937834167E0
8.844108333E-2,1.033450928E0,9.228309631E-1,9.906399536E0
9.836908333E-2,1.179547119E0,7.887098694E-1,1.007719437E1
1.082970833E-1,1.351988525E0,5.698649597E-1,1.058179504E1
1.182250833E-1,1.737287292E0,4.754113770E-1,1.083626587E1
1.281530833E-1,1.490300903E0,3.671864319E-1,1.060469742E1
1.380810833E-1,8.340655518E-1,7.557783508E-1,1.073792038E1
1.480090833E-1,5.671705627E-1,1.012494507E0,1.070903046E1
1.579370833E-1,5.530998230E-1,1.091679840E0,1.029214737E1
1.678650833E-1,7.328759766E-1,1.449585571E0,9.940528564E0
1.777930833E-1,9.915380859E-1,1.703757019E0,9.489666138E0
1.877210833E-1,1.064137115E0,1.614991608E0,9.236243134E0
1.976490833E-1,8.696914673E-1,1.434616699E0,9.132059784E0
2.075770833E-1,6.412664795E-1,1.275647278E0,9.265133057E0
2.175060833E-1,7.524851990E-1,1.051114197E0,9.326954498E0
2.274340833E-1,1.188977509E0,7.626640320E-1,9.340276794E0
2.373620833E-1,1.478924561E0,6.144721985E-1,9.354048157E0
2.472900833E-1,1.631756744E0,6.738986206E-1,9.247918854E0
2.572180833E-1,1.720073090E0,8.134085083E-1,9.083860016E0
2.671460833E-1,1.815125427E0,7.650590515E-1,9.147028656E0
2.770740833E-1,1.686093750E0,4.710704041E-1,9.305698700E0
2.870054167E-1,1.468296661E0,3.402424622E-1,9.193432159E0
2.969334167E-1,1.478325806E0,1.454974365E-1,9.660610657E0
3.068614167E-1,1.519789581E0,-8.652008057E-2,1.000085312E1
3.167894167E-1,1.654210052E0,-1.420545959E-1,9.946067047E0
3.267174167E-1,1.843865662E0,-9.729766846E-2,1.021775208E1
3.366454167E-1,1.867516479E0,1.514849854E-1,1.053030212E1
3.465734167E-1,1.828747101E0,4.528083801E-1,1.067579956E1
3.565014167E-1,1.630409546E0,5.260061646E-1,1.022329056E1
3.664294167E-1,1.565294952E0,-3.061134338E-1,9.367220764E0
3.763574167E-1,1.683249664E0,-3.754193115E-1,1.028975235E1
3.862854167E-1,2.774630127E0,1.826202393E-1,1.350027603E1
3.962134167E-1,3.701352997E0,4.129911804E-1,1.590682159E1
4.061424167E-1,3.425476685E0,3.382965088E-1,1.660407166E1
4.160704167E-1,2.568957825E0,-4.743635559E-1,1.216894455E1
4.259984167E-1,5.516029358E-1,-1.337768097E0,7.892337799E0
4.359264167E-1,-6.421646118E-2,-9.407936096E-1,6.657854919E0
4.458544167E-1,7.682025146E-1,5.941145325E-1,3.852239227E0
4.557824167E-1,2.556982727E0,1.575324097E0,-1.737886047E-1
4.657104167E-1,2.991978149E0,-1.634600830E-1,1.179397430E0
4.756384167E-1,1.399439850E0,-2.345322876E0,2.037712555E0
4.855664167E-1,-6.695576477E-1,-5.426515503E0,5.896987152E0
4.954944167E-1,1.100212097E-1,-7.026388550E0,9.812694397E0
5.054224167E-1,3.023712158E-2,-6.194119263E0,1.096350128E1
5.153504167E-1,5.248086548E-1,-3.463647308E0,1.366179016E1
5.252784167E-1,3.406615906E0,-1.961371307E0,1.402134247E1
5.352064167E-1,6.685697021E0,-1.846260681E0,1.218032089E1
5.451344167E-1,6.845714264E0,-1.387464752E0,1.003602997E1
5.550624167E-1,4.621938629E0,-1.172062683E0,8.592132568E0
5.649904167E-1,4.093088379E0,-1.543290710E0,8.307574310E0
5.749184167E-1,5.572462006E0,-2.796484680E0,7.930807800E0
5.848464167E-1,8.795709229E0,-3.458557892E0,8.177345123E0
5.947744167E-1,1.021625519E1,-3.612587585E0,8.690927124E0
6.047024167E-1,1.062370789E1,-4.161496124E0,1.003677841E1
6.146314167E-1,1.280497192E1,-3.904929657E0,1.331047073E1
6.245594167E-1,1.393212799E1,-3.559747467E0,1.319431229E1
6.344874167E-1,1.375983627E1,-3.238365784E0,1.103954315E1
6.444154167E-1,1.438418793E1,-1.520388336E0,5.747897186E0
6.543434167E-1,1.427805862E1,1.717528381E0,-9.117539978E-1
6.642714167E-1,1.191821594E1,-5.246589661E-1,-1.581910400E0
6.741994167E-1,5.680237885E0,-3.605103149E0,-4.517455902E0
6.841274167E-1,-8.819509735E0,-1.162946640E1,-1.042447220E1
6.940554167E-1,-6.361022186E0,-1.450319046E1,1.095197525E1
7.039834167E-1,1.918260956E0,-7.482041016E0,1.196087723E1
7.139114167E-1,5.462590485E0,-5.787265320E0,1.460363159E0
7.238394167E-1,7.509733429E0,-6.380631409E0,-4.167333984E-1
7.337674167E-1,3.077151031E0,-8.347990265E0,4.456083527E0
7.436954167E-1,3.861968994E-1,-7.930059357E0,8.464747467E0
7.536234167E-1,2.300116882E0,-5.953419800E0,7.101232910E0
7.635514167E-1,5.463189240E0,-4.088148651E0,6.444249115E0
7.734794167E-1,4.546345825E0,-4.365372162E0,7.810757446E0
7.834074167E-1,2.042502594E0,-4.412823486E0,7.739355927E0
7.933354167E-1,2.855312347E0,-2.640658722E0,8.542735291E0
8.032634167E-1,5.086722107E0,-2.037562866E0,8.173902283E0
8.131914167E-1,6.505022736E0,-1.847607880E0,7.962392120E0
8.231204167E-1,7.040758667E0,-6.583309937E-1,9.134903870E0
8.330484167E-1,7.375312958E0,-1.697021027E0,6.765930176E0
8.429764167E-1,6.793772278E0,-3.792363739E0,6.532415771E0
8.529044167E-1,8.381670227E0,-4.237388306E0,9.082662506E0
8.628324167E-1,1.158306290E1,-5.409151611E0,7.045249329E0
8.727604167E-1,1.258253448E1,-5.277126160E0,6.047574005E0
8.826884167E-1,1.000818787E1,-5.942791901E0,5.259013824E0
8.926164167E-1,7.725434875E0,-5.922134857E0,4.111500092E0
9.025444167E-1,6.617139587E0,-3.468437347E0,4.069736938E0
9.124724167E-1,3.775448914E0,-5.429209900E0,1.410666504E0
9.224004167E-1,3.037034454E0,-3.393143921E0,1.972897339E0
9.323284167E-1,2.482587433E0,-3.257675629E0,1.877246246E0
9.422564167E-1,1.686991882E0,-4.058510284E0,2.615361328E0
9.521844167E-1,2.288740540E-1,-4.470753021E0,4.060905304E0
9.621124167E-1,-7.173083496E-1,-4.318968658E0,5.103337555E0
9.720404167E-1,-7.005432129E-2,-3.836222534E0,5.648204498E0
9.819684167E-1,1.038839722E0,-4.813839569E0,5.825885010E0
9.918964167E-1,1.943109283E0,-6.126609650E0,5.524112549E0
1.001824417E0,3.392694855E0,-5.861660614E0,5.189857635E0
1.011752417E0,4.559817810E0,-5.557193756E0,5.395080872E0
1.021680417E0,4.817581787E0,-6.121669922E0,5.735023956E0
1.031609417E0,4.539759521E0,-6.787635040E0,5.955814819E0
1.041537417E0,4.187991028E0,-5.584886169E0,5.747897186E0
1.051465417E0,3.809278564E0,-5.122946777E0,5.964646454E0
1.061393417E0,4.496200104E0,-6.057154083E0,5.095404053E0
1.071321417E0,6.274202728E0,-5.863756256E0,4.654271393E0
1.081249417E0,4.510121155E0,-6.977440338E0,4.277654572E0
1.093120792E0,1.890568542E0,2.004331970E0,9.340725861E0
1.103048792E0,1.996398468E0,1.732946320E0,9.289981384E0
1.112976792E0,1.889969788E0,1.917961578E0,9.581425323E0
1.122904792E0,1.494342499E0,2.164349213E0,9.567354584E0
1.132832792E0,1.317260742E0,1.921254730E0,9.479337616E0
1.142760792E0,1.470841370E0,1.428778839E0,9.514664154E0
1.152687792E0,1.522334290E0,1.580712891E0,9.515562286E0
