Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
-0.000320833,1.400188293,6.104156342,6.994055786
0.009671167,1.206191711,5.921536102,7.049440613
0.019663167,0.99228653,5.629792786,7.319479065
0.029656167,0.921483765,5.566624146,7.501949615
0.039648167,0.990939331,5.341192932,7.554939423
0.049640167,1.067879333,5.063520355,7.90042099
0.059632167,0.707728272,6.058351593,8.133186951
0.069624167,0.431552582,6.54199585,7.81494873
0.079617167,0.544268189,5.546266479,7.752827911
0.089609167,0.300574951,5.12384491,7.826175385
0.099601167,0.111817474,5.099445648,7.836204529
0.109593167,0.18950592,5.263205109,8.183332672
0.119586167,0.191302185,5.205125885,8.628357239
0.129578167,0.154628449,4.884193268,8.868607635
0.139570167,0.506995697,4.618196411,8.891959076
0.149562167,1.104852448,4.261787567,9.166188812
0.159555167,0.923429718,3.704047394,9.221124573
0.169547167,0.129031677,3.467090149,9.43203598
0.179539167,-0.575403442,3.412304077,9.144334259
0.189531167,-0.834664307,3.355422363,8.807534637
0.199524167,-0.664468231,3.495680695,8.855135651
0.209516167,-0.315244446,3.1744487,8.682843933
0.219508167,-0.002095642,2.629881134,8.083340607
0.229500167,0.460442505,2.286644897,7.962990875
0.239492167,0.546513519,2.061513062,8.195607147
0.249485167,0.07020401,2.099384308,8.2280896
0.259477167,-0.675994263,1.770218811,7.776329041
0.269469167,-1.676513672,0.738713837,7.300468597
0.279461167,-1.569635925,1.374741211,7.534881134
0.289454167,-1.131197662,2.154020691,8.611592102
0.299446167,-0.535137177,3.863765259,11.36391861
0.309438167,-0.760718079,6.04577774,10.65394501
0.319430167,-1.951641541,5.729485474,7.814499664
0.329423167,-2.474953308,3.275638275,6.853498077
0.339415167,-2.418071594,0.944685516,8.770561523
0.349407167,-1.276246033,-0.264799347,8.192164307
0.359399167,-1.634151764,-0.690663757,9.82526825
0.369392167,-2.094145203,-0.005688171,10.5597908
0.379384167,-1.975292358,1.175505524,9.379046173
0.389376167,-1.911225586,2.170935516,9.745783539
0.399368167,-1.553768921,2.298320618,9.7502742
0.409360167,-1.28358078,1.918710022,8.095166016
0.419353167,-0.670156403,1.956581268,7.752827911
0.429345167,-0.014519806,2.229314117,8.7124823
0.439337167,0.067359924,2.072290649,10.03647903
0.449329167,-0.082179108,1.25199646,9.805060272
0.459322167,-0.528700562,0.326920166,9.488768005
0.469314167,-1.038839722,0.654888153,8.990753632
0.479306167,-1.155147858,0.917891235,8.595276031
0.489298167,-1.047521667,0.537532196,8.938811646
0.499291167,-0.812959442,-0.12992981,9.267528076
0.509283167,0.261805573,-0.396375732,9.616003418
0.519275167,2.106719055,0.096698914,9.927206268
0.529267167,2.681074677,0.742905121,8.952433319
0.539259167,2.373763733,0.492026825,7.682174835
0.549252167,2.500699768,0.50894165,7.201524353
0.559244167,1.966311035,1.130000153,7.79159729
0.569236167,0.286803589,2.419867859,8.428373108
0.579228167,-1.459015961,4.231849823,8.529412994
0.589221167,-2.805765381,6.386768646,9.559720459
0.599213167,-1.184337158,6.57702301,9.920919342
0.609205167,1.08000412,3.280428314,9.235644379
0.619197167,2.833308105,-0.535137177,9.390422516
0.629190167,5.185217285,-2.102827148,9.198521576
0.639182167,3.670068054,0.113164673,9.048982544
0.649174167,1.260079651,3.150199127,8.735234985
0.659166167,0.736169128,3.330274658,8.296048279
0.669159167,1.419947205,0.317340088,8.067174225
0.679151167,2.201022949,-1.093476105,7.715854797
0.689143167,2.175426178,-0.522713013,7.916587372
0.699135167,3.210224304,0.044607239,6.791976013
0.709127167,4.236789551,0.252674561,5.282065887
0.719120167,4.365821228,0.367036743,3.919299774
0.729112167,5.157824249,0.258662109,3.780089264
0.739104167,6.401288452,0.812809753,3.233426056
0.749096167,7.883655853,1.346000977,1.962568817
0.759089167,9.109606476,1.109642487,1.581611023
0.769081167,9.813891907,0.99572937,2.95560379
0.779073167,10.28541138,0.848735046,3.591780853
0.789065167,9.902956696,-1.075064392,7.598049774
0.799057167,9.146280212,-2.35415451,8.932824097
0.809050167,8.951235809,-3.630849609,6.378984833
0.819042167,8.617429962,-5.04540802,7.316784668
0.829034167,9.117839355,-5.913303223,7.602390747
0.839026167,9.236243134,-5.896388397,5.955216064
0.849019167,11.07846222,-4.240831146,5.54851181
0.859011167,14.3446701,-2.846031647,5.300327911
0.869003167,14.76319977,-2.430645447,4.993016968
0.878994542,11.98452805,-3.852538605,4.336931305
0.888987542,8.787925415,-5.02205658,4.070635071
0.898979542,6.813680878,-5.108726349,4.4405159
0.908971542,6.250851288,-5.178181915,4.352498932
0.918963542,5.965993652,-5.573210449,4.020489349
0.928955542,8.092471619,-4.87461319,3.511547699
0.938948542,11.11304031,-5.082680511,2.613265686
0.948940542,12.51098328,-6.839726715,3.357218628
0.958932542,13.85698425,-8.256829834,3.822301483
0.968924542,15.67330719,-9.164691925,3.908522186
0.978917542,17.72583893,-9.400301971,3.511996765
0.988909542,16.89446777,-6.676865387,3.373684387
0.998901542,13.95757507,-4.39246582,2.810106354
1.008893542,11.5405513,-4.207151184,0.801283722
1.018885542,8.807983704,-4.5586203,-0.547261963
1.028878542,5.956114197,-5.927373962,-1.672771454
1.038870542,4.67687439,-6.650071106,-2.583178253
1.048862542,4.502636719,-5.899232483,-3.362008667
