"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.141416665E-3,-2.856060791E0,3.534599762E0,8.910670166E0
1.706741667E-2,-2.474953308E0,3.805835724E0,8.013735352E0
2.699241667E-2,-2.619702301E0,4.084556122E0,7.770341492E0
3.691741667E-2,-2.960393829E0,4.157155151E0,7.694898376E0
4.684241667E-2,-3.179238739E0,4.095034332E0,7.931705933E0
5.676741667E-2,-3.121608582E0,4.091591492E0,8.291707306E0
6.669241667E-2,-2.766097870E0,4.135599976E0,8.525670776E0
7.661841667E-2,-2.225422211E0,3.985911255E0,8.815318451E0
8.654341667E-2,-1.568737793E0,3.641327820E0,9.192534027E0
9.646841667E-2,-1.298998718E0,3.395239563E0,8.840017090E0
1.063934167E-1,-1.204994202E0,3.427722015E0,8.442593536E0
1.163184167E-1,-8.140072632E-1,3.527414703E0,8.129744110E0
1.262434167E-1,-6.239025879E-1,3.775598602E0,9.144933014E0
1.361694167E-1,-1.318907318E0,4.136348419E0,1.000549347E1
1.460944167E-1,-2.004481659E0,4.325255585E0,9.675579529E0
1.560194167E-1,-2.441273346E0,4.127217407E0,9.468260651E0
1.659444167E-1,-2.060614929E0,4.029770050E0,9.186546478E0
1.758694167E-1,-1.633852386E0,3.999981995E0,8.859027557E0
1.857954167E-1,-1.181642761E0,3.559597778E0,8.356971588E0
1.957204167E-1,-9.767189026E-1,3.362008667E0,8.104746094E0
2.056454167E-1,-1.121617584E0,3.546125793E0,8.342601471E0
2.155704167E-1,-1.272503815E0,3.502266998E0,8.443341980E0
2.254954167E-1,-1.573378143E0,3.610641632E0,7.910749512E0
2.354204167E-1,-1.777254181E0,3.636837158E0,7.390880585E0
2.453464167E-1,-1.651515656E0,2.944227448E0,8.516689453E0
2.552714167E-1,-1.393751678E0,2.517315216E0,8.968450012E0
2.651964167E-1,-9.885443115E-1,2.656376038E0,8.881331177E0
2.751214167E-1,-4.373904419E-1,2.920726318E0,8.600814514E0
2.850464167E-1,-1.278341675E-1,3.275039520E0,9.363029480E0
2.949714167E-1,-1.606459351E0,3.145109711E0,9.807754669E0
3.048974167E-1,-2.485730896E0,1.875599670E0,9.231752472E0
3.148224167E-1,5.818400574E-1,9.753717041E-1,1.215861603E1
3.247474167E-1,4.489015045E0,1.752405853E0,1.495614853E1
3.346724167E-1,6.148913269E0,2.319127350E0,1.433793411E1
3.445974167E-1,5.869594116E0,1.961820374E0,1.618479355E1
3.545224167E-1,5.434149628E0,1.410666504E0,1.865480713E1
3.644484167E-1,3.091221771E0,2.644700317E0,1.719564148E1
3.743734167E-1,2.138752441E0,2.853366394E0,1.354009323E1
3.842984167E-1,1.578916626E0,9.392967224E-1,1.042866348E1
3.942234167E-1,6.780899048E-1,-7.604187012E-2,6.607260132E0
4.041484167E-1,-8.487350464E-2,-4.608915710E-1,2.780767365E0
4.140744167E-1,6.032455444E-2,-7.453001404E-1,1.431024170E0
